plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,plant.phenotypes.height,model.positioning_mode,experiment.params.flow_rate,plant.genotype,plant.phenotypes.plagiotropic_node_number,plant.phenotypes.plagiotropic_node_distance,plant.phenotypes.orthotropic_branch_length,plant.phenotypes.orthotropic_branch_node_number,plant.phenotypes.diameter,plant.phenotypes.leaf_area,experiment.results.droplet_size.value
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,30.0,off,,,,,,,,,,,251.1
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.876,31.735,49.205,74.321,0.191,1.624,1.979,3.054,28.66,off,,,,,,,,,,,254.118
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.004,30.628,48.75,70.262,0.191,1.544,1.964,3.088,28.482,off,,,,,,,,,,,255.376
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.449,31.723,48.123,71.754,0.214,1.539,2.121,2.947,32.387,off,,,,,,,,,,,253.226
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.204,30.211,50.339,73.71,0.193,1.657,1.969,2.791,31.81,off,,,,,,,,,,,252.932
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.672,31.612,47.095,70.546,0.186,1.688,2.082,3.197,31.805,off,,,,,,,,,,,250.418
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.496,31.209,47.752,72.377,0.204,1.583,2.017,2.888,29.168,off,,,,,,,,,,,250.682
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.71,31.549,48.897,71.905,0.216,1.658,1.919,2.725,28.89,off,,,,,,,,,,,252.975
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.235,30.179,47.447,71.554,0.2,1.694,2.045,2.986,30.208,off,,,,,,,,,,,247.388
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.51,30.342,48.832,72.692,0.2,1.49,2.159,3.122,30.667,off,,,,,,,,,,,249.066
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,30.0,off,,,,,,,,,,,237.2
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.714,30.413,46.778,73.368,0.194,1.684,3.69,3.092,31.858,off,,,,,,,,,,,238.787
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.241,30.308,48.105,73.309,0.192,1.639,3.581,2.889,28.187,off,,,,,,,,,,,230.568
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.303,30.069,47.779,70.643,0.191,1.489,3.547,2.91,29.717,off,,,,,,,,,,,234.928
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.878,31.825,46.368,72.767,0.186,1.501,3.462,3.17,29.931,off,,,,,,,,,,,233.096
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.543,31.66,46.828,70.834,0.21,1.702,3.65,3.243,29.193,off,,,,,,,,,,,234.165
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.38,31.491,47.195,71.538,0.193,1.514,3.531,2.954,30.3,off,,,,,,,,,,,240.194
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,21.902,31.309,49.139,73.787,0.195,1.533,3.635,2.953,27.625,off,,,,,,,,,,,240.439
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.808,31.092,47.52,75.473,0.185,1.615,3.521,2.783,28.779,off,,,,,,,,,,,241.864
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.97,31.434,49.556,69.513,0.197,1.709,3.505,3.164,31.708,off,,,,,,,,,,,233.728
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,30.0,off,,,,,,,,,,,240.2
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.473,29.792,47.524,73.311,0.186,1.646,5.049,2.789,30.761,off,,,,,,,,,,,237.828
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.842,31.335,48.067,70.162,0.214,1.586,4.68,2.853,31.677,off,,,,,,,,,,,238.797
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.265,32.308,49.162,74.151,0.192,1.526,4.772,2.817,29.669,off,,,,,,,,,,,236.655
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.335,31.607,47.378,70.135,0.21,1.558,4.837,2.934,29.81,off,,,,,,,,,,,242.532
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.521,31.64,46.69,70.997,0.207,1.552,4.718,2.833,29.109,off,,,,,,,,,,,236.648
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.596,31.647,49.839,71.132,0.209,1.677,4.964,2.873,30.293,off,,,,,,,,,,,241.953
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.194,30.931,48.326,73.861,0.215,1.718,5.218,2.976,30.573,off,,,,,,,,,,,240.896
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.399,30.856,48.689,73.93,0.203,1.574,5.118,3.071,30.297,off,,,,,,,,,,,243.857
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.961,32.304,46.37,69.129,0.206,1.51,5.071,2.805,27.354,off,,,,,,,,,,,242.072
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,60.0,off,,,,,,,,,,,274.1
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.423,32.318,47.467,70.296,0.205,1.668,1.94,3.136,61.111,off,,,,,,,,,,,276.925
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.117,31.702,48.638,73.57,0.187,1.668,1.826,3.038,61.801,off,,,,,,,,,,,274.148
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.781,32.139,46.771,72.469,0.209,1.503,1.9,3.064,60.979,off,,,,,,,,,,,272.572
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.459,30.057,47.986,72.876,0.191,1.598,2.095,3.004,59.562,off,,,,,,,,,,,275.621
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.508,31.533,47.433,70.819,0.191,1.637,1.949,3.209,59.995,off,,,,,,,,,,,278.117
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.783,30.91,46.762,73.033,0.214,1.697,1.96,2.901,62.753,off,,,,,,,,,,,266.991
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.634,30.979,47.367,72.203,0.203,1.492,1.934,2.924,58.35,off,,,,,,,,,,,269.316
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.85,30.828,48.845,72.884,0.198,1.542,2.133,3.056,62.074,off,,,,,,,,,,,267.637
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.611,30.41,49.425,70.253,0.214,1.556,2.043,2.795,62.001,off,,,,,,,,,,,271.56
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,60.0,off,,,,,,,,,,,266.8
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.05,30.63,49.136,69.067,0.186,1.589,3.681,3.049,57.923,off,,,,,,,,,,,263.943
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,24.014,31.599,47.982,72.82,0.196,1.694,3.351,2.878,61.463,off,,,,,,,,,,,268.3
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.297,31.702,46.659,74.628,0.198,1.527,3.369,3.148,58.801,off,,,,,,,,,,,265.362
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.308,31.094,48.142,70.984,0.207,1.513,3.276,2.959,62.404,off,,,,,,,,,,,266.775
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.481,30.052,46.989,72.306,0.19,1.664,3.37,2.97,62.37,off,,,,,,,,,,,266.682
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.227,31.656,49.091,72.753,0.208,1.57,3.641,2.926,56.866,off,,,,,,,,,,,269.337
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.384,30.362,48.084,70.449,0.195,1.561,3.655,3.168,58.447,off,,,,,,,,,,,261.044
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.266,30.938,47.465,73.977,0.207,1.599,3.206,2.904,62.445,off,,,,,,,,,,,271.36
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.778,31.387,47.742,73.417,0.194,1.683,3.458,2.997,63.426,off,,,,,,,,,,,263.645
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,60.0,off,,,,,,,,,,,262.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.129,31.725,48.585,71.722,0.184,1.555,4.671,3.154,59.384,off,,,,,,,,,,,263.021
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.989,30.813,47.217,72.004,0.191,1.555,5.176,3.163,64.025,off,,,,,,,,,,,259.811
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.856,30.637,49.674,71.155,0.207,1.665,4.927,2.881,64.182,off,,,,,,,,,,,260.551
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.843,31.887,46.906,69.851,0.215,1.662,4.995,3.038,59.097,off,,,,,,,,,,,265.196
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.598,29.777,48.149,74.01,0.204,1.571,4.885,3.028,58.172,off,,,,,,,,,,,268.163
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.302,29.92,48.744,72.438,0.197,1.512,4.98,2.792,59.721,off,,,,,,,,,,,260.251
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.085,31.253,46.615,69.752,0.209,1.714,5.285,2.746,61.223,off,,,,,,,,,,,262.626
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.087,30.255,48.358,74.704,0.198,1.743,5.27,2.851,57.469,off,,,,,,,,,,,259.035
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.477,31.005,47.377,69.494,0.188,1.623,5.031,3.213,62.928,off,,,,,,,,,,,264.484
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,90.0,off,,,,,,,,,,,277.1
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.748,30.658,46.095,74.211,0.192,1.458,2.054,3.156,98.264,off,,,,,,,,,,,279.061
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.619,31.581,47.385,69.627,0.201,1.636,2.114,2.851,92.899,off,,,,,,,,,,,277.8
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.52,31.212,48.655,73.462,0.202,1.508,1.891,2.796,89.317,off,,,,,,,,,,,277.248
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.887,29.98,48.815,71.503,0.2,1.69,2.059,2.834,86.877,off,,,,,,,,,,,279.85
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.721,31.176,48.121,71.737,0.202,1.641,1.901,2.803,84.174,off,,,,,,,,,,,273.023
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.582,29.673,49.3,72.775,0.212,1.698,2.027,2.983,94.492,off,,,,,,,,,,,277.066
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.28,30.97,46.493,71.101,0.21,1.546,2.0,3.08,84.328,off,,,,,,,,,,,282.674
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.401,30.001,45.974,70.719,0.191,1.571,2.059,3.094,89.555,off,,,,,,,,,,,281.91
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,24.045,31.009,48.601,71.25,0.202,1.679,1.953,3.017,86.572,off,,,,,,,,,,,274.105
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,90.0,off,,,,,,,,,,,272.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.488,31.009,49.294,73.896,0.208,1.611,3.321,3.09,90.386,off,,,,,,,,,,,273.11
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.744,29.958,49.26,71.42,0.201,1.528,3.227,2.891,97.235,off,,,,,,,,,,,275.168
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.974,31.805,47.963,72.242,0.187,1.647,3.353,3.184,94.884,off,,,,,,,,,,,274.676
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.066,32.251,47.996,69.797,0.201,1.603,3.81,2.808,91.64,off,,,,,,,,,,,271.372
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.995,31.098,46.954,71.346,0.208,1.651,3.331,3.002,87.629,off,,,,,,,,,,,268.383
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.166,30.061,50.095,70.978,0.207,1.544,3.302,3.003,91.918,off,,,,,,,,,,,277.563
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.744,30.939,49.37,71.026,0.202,1.604,3.761,2.925,84.527,off,,,,,,,,,,,272.684
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.61,30.176,48.722,71.196,0.21,1.495,3.235,3.001,87.868,off,,,,,,,,,,,269.989
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.734,31.128,46.839,74.09,0.205,1.74,3.658,3.251,86.257,off,,,,,,,,,,,275.579
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,90.0,off,,,,,,,,,,,266.8
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.467,31.529,46.645,71.628,0.204,1.496,5.214,2.974,95.697,off,,,,,,,,,,,264.514
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,23.285,30.743,46.618,73.435,0.195,1.643,4.776,3.207,96.313,off,,,,,,,,,,,271.18
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.847,30.056,49.187,71.85,0.203,1.574,5.016,2.989,98.462,off,,,,,,,,,,,271.347
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.307,31.331,47.346,69.348,0.207,1.501,4.68,3.026,87.541,off,,,,,,,,,,,265.116
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600.0,6,SX11001VS,16,130.0,250.0,4.0,9.0,plunger pump,4.0,1.0,22.449,30.766,45.969,69.231,0.195,1.484,5.122,2.884,92.368,off,,,,,,,,,,,267.308
